# time of execution: 2022-05-12 14:38:42
#model:m3tm
### simulation parameters ###
# timestep dt=1e-16[s]
# initial temperature:295.0[K]
# initial magnetization [x,y,z]:[0.0, 0.0, 0.96925]
### sample paramters ###
# Sample: Nickel
# S=0.5
# mu_at=0.616[mu_B]
# nx=1	ny=1	nz=1
# dx=3.524e-10	dy=3.524e-10	dz=3.524e-10	[m]
# atoms per unit cell:4
# asf=0.045
# gep, cv_el, cv_ph: DFT-interpolation
# Tc=633[K]
# T_Deb=360[K]
### pulse paramters ###
# peak power:1.39e+22[W/m^3]
# sigma=1.8e-14[s]
# delay=1e-11[s]
#############################
# time [ps]	magnetization	T_e [K]	T_p [K]	E_tot [J/m^3]	E_el [J/m^3]	E_ph [J/m^3]	E_spin [J/m^3]
0.0	1.0	295.0	295.0	0	0	0	0
0.01	1.0000000143111214	295.0	295.0	0.0	0.0	0.0	0.0
0.02	1.0000000284894923	295.0	295.0	0.0	0.0	0.0	0.0
0.03	1.0000000425363433	295.0	295.0	0.0	0.0	0.0	0.0
0.04	1.0000000564528957	295.0	295.0	0.0	0.0	0.0	0.0
0.05	1.0000000702403566	295.0	295.0	0.0	0.0	0.0	0.0
0.06	1.0000000838999248	295.0	295.0	0.0	0.0	0.0	0.0
0.07	1.0000000974327843	295.0	295.0	0.0	0.0	0.0	0.0
0.08	1.0000001108401122	295.0	295.0	0.0	0.0	0.0	0.0
0.09	1.000000124123072	295.0	295.0	0.0	0.0	0.0	0.0
0.1	1.0000001372828184	295.0	295.0	0.0	0.0	0.0	0.0
0.11	1.0000001503204938	295.0	295.0	0.0	0.0	0.0	0.0
0.12	1.0000001632372317	295.0	295.0	0.0	0.0	0.0	0.0
0.13	1.0000001760341526	295.0	295.0	0.0	0.0	0.0	0.0
0.14	1.0000001887123684	295.0	295.0	0.0	0.0	0.0	0.0
0.15	1.0000002012729794	295.0	295.0	0.0	0.0	0.0	0.0
0.16	1.0000002137170783	295.0	295.0	0.0	0.0	0.0	0.0
0.17	1.0000002260457441	295.0	295.0	0.0	0.0	0.0	0.0
0.18	1.0000002382600486	295.0	295.0	0.0	0.0	0.0	0.0
0.19	1.000000250361051	295.0	295.0	0.0	0.0	0.0	0.0
0.2	1.0000002623498043	295.0	295.0	0.0	0.0	0.0	0.0
0.21	1.0000002742273486	295.0	295.0	0.0	0.0	0.0	0.0
0.22	1.0000002859947157	295.0	295.0	0.0	0.0	0.0	0.0
0.22999999999999998	1.000000297652928	295.0	295.0	0.0	0.0	0.0	0.0
0.24	1.0000003092029979	295.0	295.0	0.0	0.0	0.0	0.0
0.25	1.0000003206459283	295.0	295.0	0.0	0.0	0.0	0.0
0.26	1.0000003319827127	295.0	295.0	0.0	0.0	0.0	0.0
0.27	1.0000003432143365	295.0	295.0	0.0	0.0	0.0	0.0
0.28	1.0000003543417753	295.0	295.0	0.0	0.0	0.0	0.0
0.29	1.0000003653659935	295.0	295.0	0.0	0.0	0.0	0.0
0.3	1.0000003762879515	295.0	295.0	0.0	0.0	0.0	0.0
0.31	1.0000003871085974	295.0	295.0	0.0	0.0	0.0	0.0
0.32	1.0000003978288683	295.0	295.0	0.0	0.0	0.0	0.0
0.33	1.0000004084496976	295.0	295.0	0.0	0.0	0.0	0.0
0.34	1.0000004189720069	295.0	295.0	0.0	0.0	0.0	0.0
0.35	1.000000429396711	295.0	295.0	0.0	0.0	0.0	0.0
0.36	1.0000004397247146	295.0	295.0	0.0	0.0	0.0	0.0
0.37	1.000000449956915	295.0	295.0	0.0	0.0	0.0	0.0
0.38	1.0000004600941999	295.0	295.0	0.0	0.0	0.0	0.0
0.39	1.0000004701374503	295.0	295.0	0.0	0.0	0.0	0.0
0.4	1.0000004800875395	295.0	295.0	0.0	0.0	0.0	0.0
0.41	1.0000004899453305	295.0	295.0	0.0	0.0	0.0	0.0
0.42	1.00000049971168	295.0	295.0	0.0	0.0	0.0	0.0
0.43	1.000000509387436	295.0	295.0	0.0	0.0	0.0	0.0
0.44	1.000000518973438	295.0	295.0	0.0	0.0	0.0	0.0
0.45	1.0000005284705196	295.0	295.0	0.0	0.0	0.0	0.0
0.45999999999999996	1.0000005378795054	295.0	295.0	0.0	0.0	0.0	0.0
0.47000000000000003	1.0000005472012132	295.0	295.0	0.0	0.0	0.0	0.0
0.48	1.0000005564364527	295.0	295.0	0.0	0.0	0.0	0.0
0.49000000000000005	1.000000565586024	295.0	295.0	0.0	0.0	0.0	0.0
0.5	1.000000574650724	295.0	295.0	0.0	0.0	0.0	0.0
0.5099999999999999	1.000000583631338	295.0	295.0	0.0	0.0	0.0	0.0
0.52	1.0000005925286473	295.0	295.0	0.0	0.0	0.0	0.0
0.5299999999999999	1.0000006013434253	295.0	295.0	0.0	0.0	0.0	0.0
0.54	1.0000006100764354	295.0	295.0	0.0	0.0	0.0	0.0
0.5499999999999999	1.0000006187284383	295.0	295.0	0.0	0.0	0.0	0.0
0.56	1.000000627300186	295.0	295.0	0.0	0.0	0.0	0.0
0.57	1.0000006357924192	295.0	295.0	0.0	0.0	0.0	0.0
0.58	1.0000006442058778	295.0	295.0	0.0	0.0	0.0	0.0
0.59	1.000000652541293	295.0	295.0	0.0	0.0	0.0	0.0
0.6	1.000000660799388	295.0	295.0	0.0	0.0	0.0	0.0
0.61	1.0000006689808791	295.0	295.0	0.0	0.0	0.0	0.0
0.62	1.0000006770864773	295.0	295.0	0.0	0.0	0.0	0.0
0.6299999999999999	1.000000685116888	295.0	295.0	0.0	0.0	0.0	0.0
0.64	1.0000006930728087	295.0	295.0	0.0	0.0	0.0	0.0
0.6499999999999999	1.0000007009549305	295.0	295.0	0.0	0.0	0.0	0.0
0.66	1.0000007087639353	295.0	295.0	0.0	0.0	0.0	0.0
0.6699999999999999	1.0000007165005034	295.0	295.0	0.0	0.0	0.0	0.0
0.68	1.0000007241653066	295.0	295.0	0.0	0.0	0.0	0.0
0.69	1.0000007317590123	295.0	295.0	0.0	0.0	0.0	0.0
0.7	1.000000739282276	295.0	295.0	0.0	0.0	0.0	0.0
0.71	1.000000746735753	295.0	295.0	0.0	0.0	0.0	0.0
0.72	1.0000007541200902	295.0	295.0	0.0	0.0	0.0	0.0
0.73	1.0000007614359305	295.0	295.0	0.0	0.0	0.0	0.0
0.74	1.0000007686839079	295.0	295.0	0.0	0.0	0.0	0.0
0.7499999999999999	1.000000775864653	295.0	295.0	0.0	0.0	0.0	0.0
0.76	1.0000007829787876	295.0	295.0	0.0	0.0	0.0	0.0
0.7699999999999999	1.0000007900269319	295.0	295.0	0.0	0.0	0.0	0.0
0.78	1.0000007970096967	295.0	295.0	0.0	0.0	0.0	0.0
