# time of execution: 2022-05-12 14:32:59
#model:m3tm
### simulation parameters ###
# timestep dt=1e-16[s]
# initial temperature:295.0[K]
# initial magnetization [x,y,z]:[0.0, 0.0, 0.96925]
### sample paramters ###
# Sample: Nickel
# S=0.5
# mu_at=0.616[mu_B]
# nx=1	ny=1	nz=1
# dx=3.524e-10	dy=3.524e-10	dz=3.524e-10	[m]
# atoms per unit cell:4
# asf=0.048
# gep, cv_el, cv_ph: DFT-interpolation
# Tc=633[K]
# T_Deb=360[K]
### pulse paramters ###
# peak power:1.39e+22[W/m^3]
# sigma=1.8e-14[s]
# delay=1e-11[s]
#############################
# time [ps]	magnetization	T_e [K]	T_p [K]	E_tot [J/m^3]	E_el [J/m^3]	E_ph [J/m^3]	E_spin [J/m^3]
0.0	1.0	295.0	295.0	0	0	0	0
0.01	1.000000015260463	295.0	295.0	0.0	0.0	0.0	0.0
0.02	1.0000000303699785	295.0	295.0	0.0	0.0	0.0	0.0
0.03	1.0000000453300406	295.0	295.0	0.0	0.0	0.0	0.0
0.04	1.0000000601421257	295.0	295.0	0.0	0.0	0.0	0.0
0.05	1.0000000748076978	295.0	295.0	0.0	0.0	0.0	0.0
0.06	1.0000000893282062	295.0	295.0	0.0	0.0	0.0	0.0
0.07	1.0000001037050876	295.0	295.0	0.0	0.0	0.0	0.0
0.08	1.000000117939761	295.0	295.0	0.0	0.0	0.0	0.0
0.09	1.000000132033633	295.0	295.0	0.0	0.0	0.0	0.0
0.1	1.000000145988097	295.0	295.0	0.0	0.0	0.0	0.0
0.11	1.0000001598045314	295.0	295.0	0.0	0.0	0.0	0.0
0.12	1.0000001734843016	295.0	295.0	0.0	0.0	0.0	0.0
0.13	1.0000001870287587	295.0	295.0	0.0	0.0	0.0	0.0
0.14	1.0000002004392423	295.0	295.0	0.0	0.0	0.0	0.0
0.15	1.000000213717078	295.0	295.0	0.0	0.0	0.0	0.0
0.16	1.000000226863576	295.0	295.0	0.0	0.0	0.0	0.0
0.17	1.0000002398800376	295.0	295.0	0.0	0.0	0.0	0.0
0.18	1.0000002527677472	295.0	295.0	0.0	0.0	0.0	0.0
0.19	1.0000002655279792	295.0	295.0	0.0	0.0	0.0	0.0
0.2	1.0000002781619939	295.0	295.0	0.0	0.0	0.0	0.0
0.21	1.000000290671041	295.0	295.0	0.0	0.0	0.0	0.0
0.22	1.0000003030563562	295.0	295.0	0.0	0.0	0.0	0.0
0.22999999999999998	1.0000003153191621	295.0	295.0	0.0	0.0	0.0	0.0
0.24	1.000000327460672	295.0	295.0	0.0	0.0	0.0	0.0
0.25	1.0000003394820858	295.0	295.0	0.0	0.0	0.0	0.0
0.26	1.0000003513845903	295.0	295.0	0.0	0.0	0.0	0.0
