# time of execution: 2020-10-20 10:27:27
### simulation parameters ###
# timestep dt=1e-16[s]
# initial temperature:295.0[K]
# initial magnetization [x,y,z]:[0, 0, 1.0]
### sample paramters ###
# S=0.5
# mu_at=0.616[mu_B]
# nx=1	ny=1	nz=1
# dx=3.524e-10	dy=3.524e-10	dz=3.524e-10	[m]
# asf=0.033
# gep, cv_el, cv_ph: DFT-interpolation
# Tc=633[K]
# T_Deb=450[K]
### pulse paramters ###
# peak power:6e+21[W/m^3]
# sigma=2.4e-14[s]
# delay=1e-11[s]
#############################
# time [ps]	magnetization	T_e [K]	T_p [K]
0.0	1.0	295.0	295.0
0.01	0.9996580908846069	295.0	295.0
0.02	0.9993201169277346	295.0	295.0
0.03	0.9989860298923674	295.0	295.0
0.04	0.9986557821979147	295.0	295.0
0.05	0.9983293269098545	295.0	295.0
0.06	0.99800661772957	295.0	295.0
0.07	0.9976876089843708	295.0	295.0
0.08	0.9973722556177047	295.0	295.0
0.09	0.99706051317955	295.0	295.0
0.1	0.9967523378169862	295.0	295.0
0.11	0.9964476862649339	295.0	295.0
0.12	0.9961465158370689	295.0	295.0
0.13	0.9958487844169044	295.0	295.0
0.14	0.9955544504490288	295.0	295.0
0.15	0.995263472930507	295.0	295.0
0.16	0.9949758114024417	295.0	295.0
0.17	0.9946914259416763	295.0	295.0
0.18	0.9944102771526594	295.0	295.0
0.19	0.9941323261594457	295.0	295.0
0.2	0.9938575345978451	295.0	295.0
0.21	0.993585864607707	295.0	295.0
0.22	0.9933172788253509	295.0	295.0
0.22999999999999998	0.9930517403761192	295.0	295.0
0.24	0.9927892128670709	295.0	295.0
0.25	0.9925296603797971	295.0	295.0
0.26	0.9922730474633682	295.0	295.0
0.27	0.9920193391273995	295.0	295.0
0.28	0.9917685008352424	295.0	295.0
0.29	0.9915204984972904	295.0	295.0
0.3	0.9912752984644015	295.0	295.0
0.31	0.9910328675214338	295.0	295.0
0.32	0.9907931728808976	295.0	295.0
0.33	0.9905561821767065	295.0	295.0
0.34	0.9903218634580446	295.0	295.0
0.35	0.9900901851833334	295.0	295.0
0.36	0.9898611162143058	295.0	295.0
0.37	0.989634625810171	295.0	295.0
0.38	0.9894106836218892	295.0	295.0
0.39	0.9891892596865378	295.0	295.0
0.4	0.9889703244217702	295.0	295.0
0.41	0.9887538486203677	295.0	295.0
0.42	0.9885398034448908	295.0	295.0
0.43	0.9883281604224073	295.0	295.0
0.44	0.9881188914393143	295.0	295.0
0.45	0.9879119687362465	295.0	295.0
0.45999999999999996	0.9877073649030665	295.0	295.0
0.47000000000000003	0.9875050528739371	295.0	295.0
0.48	0.9873050059224757	295.0	295.0
0.49000000000000005	0.9871071976569898	295.0	295.0
0.5	0.986911602015783	295.0	295.0
0.5099999999999999	0.9867181932625472	295.0	295.0
0.52	0.9865269459818222	295.0	295.0
0.5299999999999999	0.9863378350745328	295.0	295.0
0.54	0.9861508357535934	295.0	295.0
0.5499999999999999	0.9859659235395886	295.0	295.0
0.56	0.9857830742565187	295.0	295.0
0.57	0.9856022640276161	295.0	295.0
0.58	0.9854234692712247	295.0	295.0
0.59	0.9852466666967519	295.0	295.0
0.6	0.9850718333006752	295.0	295.0
0.61	0.9848989463626179	295.0	295.0
0.62	0.9847279834414898	295.0	295.0
0.6299999999999999	0.9845589223716791	295.0	295.0
0.64	0.9843917412593102	295.0	295.0
0.6499999999999999	0.984226418478562	295.0	295.0
0.66	0.9840629326680383	295.0	295.0
0.6699999999999999	0.9839012627271946	295.0	295.0
0.68	0.9837413878128283	295.0	295.0
0.69	0.9835832873356122	295.0	295.0
0.7	0.9834269409566888	295.0	295.0
0.71	0.9832723285843168	295.0	295.0
0.72	0.983119430370563	295.0	295.0
0.73	0.9829682267080537	295.0	295.0
0.74	0.9828186982267672	295.0	295.0
0.7499999999999999	0.9826708257908805	295.0	295.0
0.76	0.9825245904956612	295.0	295.0
0.7699999999999999	0.9823799736644101	295.0	295.0
0.78	0.9822369568454433	295.0	295.0
0.7899999999999999	0.9820955218091277	295.0	295.0
0.8	0.9819556505449556	295.0	295.0
0.8099999999999999	0.9818173252586638	295.0	295.0
0.82	0.9816805283693983	295.0	295.0
0.83	0.9815452425069177	295.0	295.0
0.84	0.9814114505088423	295.0	295.0
0.85	0.981279135417942	295.0	295.0
0.86	0.9811482804794609	295.0	295.0
0.87	0.9810188691384882	295.0	295.0
0.88	0.9808908850373638	295.0	295.0
0.8899999999999999	0.980764312013122	295.0	295.0
0.9	0.9806391340949707	295.0	295.0
0.9099999999999999	0.9805153355018155	295.0	295.0
0.9199999999999999	0.980392900639809	295.0	295.0
0.93	0.980271814099945	295.0	295.0
0.9400000000000001	0.9801520606556824	295.0	295.0
0.95	0.9800336252606029	295.0	295.0
0.96	0.9799164930461078	295.0	295.0
0.9699999999999999	0.979800649319143	295.0	295.0
0.9800000000000001	0.9796860795599605	295.0	295.0
0.99	0.9795727694199066	295.0	295.0
1.0	0.9794607047192476	295.0	295.0
1.01	0.9793498714450212	295.0	295.0
1.0199999999999998	0.9792402557489269	295.0	295.0
1.03	0.9791318439452363	295.0	295.0
1.04	0.979024622508739	295.0	295.0
1.05	0.9789185780727158	295.0	295.0
1.0599999999999998	0.9788136974269431	295.0	295.0
1.0699999999999998	0.9787099675157197	295.0	295.0
1.08	0.9786073754359266	295.0	295.0
1.09	0.9785059084351151	295.0	295.0
1.0999999999999999	0.9784055539096144	295.0	295.0
1.1099999999999999	0.9783062994026724	295.0	295.0
1.12	0.9782081326026213	295.0	295.0
1.1300000000000001	0.978111041341065	295.0	295.0
1.14	0.9780150135910944	295.0	295.0
1.15	0.977920037465531	295.0	295.0
1.16	0.9778261012151874	295.0	295.0
1.1700000000000002	0.9777331932271567	295.0	295.0
1.18	0.9776413020231227	295.0	295.0
1.19	0.9775504162576963	295.0	295.0
1.2	0.9774605247167754	295.0	295.0
1.21	0.9773716163159194	295.0	295.0
1.22	0.9772836800987573	295.0	295.0
1.23	0.9771967052354081	295.0	295.0
1.24	0.9771106810209268	295.0	295.0
1.25	0.9770255968737731	295.0	295.0
1.2599999999999998	0.9769414423342965	295.0	295.0
1.27	0.9768582070632443	295.0	295.0
1.28	0.9767758808402914	295.0	295.0
1.29	0.9766944535625852	295.0	295.0
1.2999999999999998	0.9766139152433168	295.0	295.0
1.31	0.9765342560103023	295.0	295.0
1.32	0.9764554661045932	295.0	295.0
1.33	0.9763775358790985	295.0	295.0
1.3399999999999999	0.9763004557972254	295.0	295.0
1.3499999999999999	0.9762242164315419	295.0	295.0
1.36	0.9761488084624541	295.0	295.0
1.37	0.9760742226769042	295.0	295.0
1.38	0.9760004499670805	295.0	295.0
1.39	0.9759274813291499	295.0	295.0
1.4	0.9758553078620033	295.0	295.0
1.4100000000000001	0.9757839207660179	295.0	295.0
1.42	0.975713311341842	295.0	295.0
1.43	0.975643470989183	295.0	295.0
1.44	0.9755743912056242	295.0	295.0
1.45	0.9755060635854504	295.0	295.0
1.46	0.9754384798184916	295.0	295.0
1.47	0.9753716316889744	295.0	295.0
1.48	0.9753055110744034	295.0	295.0
1.49	0.9752401099444409	295.0	295.0
1.4999999999999998	0.9751754203598106	295.0	295.0
1.51	0.9751114344712144	295.0	295.0
1.52	0.9750481445182592	295.0	295.0
1.53	0.9749855428284031	295.0	295.0
1.5399999999999998	0.9749236218159082	295.0	295.0
1.55	0.974862373980817	295.0	295.0
1.56	0.9748017919079305	295.0	295.0
1.57	0.974741868265808	295.0	295.0
1.5799999999999998	0.9746825958057755	295.0	295.0
1.5899999999999999	0.9746239673609479	295.0	295.0
1.6	0.974565975845263	295.0	295.0
1.61	0.9745086142525292	295.0	295.0
1.6199999999999999	0.9744518756554841	295.0	295.0
1.63	0.974395753204867	295.0	295.0
1.64	0.9743402401284983	295.0	295.0
1.6500000000000001	0.9742853297303771	295.0	295.0
1.66	0.9742310153897843	295.0	295.0
1.67	0.9741772905604026	295.0	295.0
1.68	0.974124148769443	295.0	295.0
1.69	0.9740715836167839	295.0	295.0
1.7	0.9740195887741218	295.0	295.0
1.71	0.9739681579841295	295.0	295.0
1.72	0.9739172850596337	295.0	295.0
1.73	0.9738669638827885	295.0	295.0
1.74	0.973817188404272	295.0	295.0
1.75	0.9737679526424873	295.0	295.0
1.76	0.9737192506827744	295.0	295.0
1.77	0.9736710766766327	295.0	295.0
1.7799999999999998	0.9736234248409479	295.0	295.0
1.79	0.9735762894572392	295.0	295.0
1.8	0.9735296648709055	295.0	295.0
1.81	0.9734835454904853	295.0	295.0
1.8199999999999998	0.9734379257869273	295.0	295.0
1.83	0.9733928002928657	295.0	295.0
1.8399999999999999	0.9733481636019082	295.0	295.0
1.85	0.9733040103679325	295.0	295.0
1.86	0.9732603353043887	295.0	295.0
1.8699999999999999	0.9732171331836104	295.0	295.0
1.8800000000000001	0.9731743988361384	295.0	295.0
1.89	0.9731321271500505	295.0	295.0
1.9	0.9730903130702968	295.0	295.0
1.9100000000000001	0.9730489515980465	295.0	295.0
1.92	0.9730080377900422	295.0	295.0
1.9300000000000002	0.9729675667579595	295.0	295.0
1.9399999999999997	0.9729275336677775	295.0	295.0
1.95	0.9728879337391576	295.0	295.0
1.9600000000000002	0.9728487622448235	295.0	295.0
1.97	0.9728100145099592	295.0	295.0
1.98	0.9727716859116027	295.0	295.0
1.9899999999999998	0.9727337718780547	295.0	295.0
2.0	0.9726962678882949	295.0	295.0
2.0100000000000002	0.9726591694713987	295.0	295.0
2.02	0.9726224722059691	295.0	295.0
2.0300000000000002	0.9725861717195682	295.0	295.0
2.0399999999999996	0.9725502636881607	295.0	295.0
2.05	0.9725147438355614	295.0	295.0
2.06	0.9724796079328897	295.0	295.0
2.07	0.9724448517980327	295.0	295.0
2.08	0.9724104712951127	295.0	295.0
2.09	0.9723764623339602	295.0	295.0
2.1	0.9723428208695944	295.0	295.0
2.11	0.9723095429017108	295.0	295.0
2.1199999999999997	0.9722766244741766	295.0	295.0
2.13	0.9722440616745234	295.0	295.0
2.1399999999999997	0.97221185063346	295.0	295.0
2.15	0.9721799875243757	295.0	295.0
2.16	0.9721484685628615	295.0	295.0
2.17	0.9721172900062317	295.0	295.0
2.18	0.9720864481530506	295.0	295.0
2.19	0.9720559393426681	295.0	295.0
2.1999999999999997	0.9720257599547577	295.0	295.0
2.21	0.9719959064088599	295.0	295.0
2.2199999999999998	0.9719663751639354	295.0	295.0
2.23	0.9719371627179162	295.0	295.0
2.24	0.9719082656072692	295.0	295.0
2.25	0.9718796804065623	295.0	295.0
2.2600000000000002	0.9718514037280335	295.0	295.0
2.27	0.9718234322211664	295.0	295.0
2.28	0.9717957625722732	295.0	295.0
2.29	0.9717683915040769	295.0	295.0
2.3	0.9717413157753075	295.0	295.0
2.31	0.9717145321802926	295.0	295.0
2.32	0.9716880375485597	295.0	295.0
2.33	0.9716618287444394	295.0	295.0
2.3400000000000003	0.9716359026666765	295.0	295.0
2.35	0.9716102562480442	295.0	295.0
2.36	0.9715848864549624	295.0	295.0
2.3699999999999997	0.9715597902871193	295.0	295.0
2.38	0.9715349647771006	295.0	295.0
2.39	0.9715104069900199	295.0	295.0
2.4	0.971486114023155	295.0	295.0
2.41	0.9714620830055888	295.0	295.0
2.42	0.9714383110978537	295.0	295.0
2.43	0.9714147954915788	295.0	295.0
2.44	0.9713915334091444	295.0	295.0
2.4499999999999997	0.9713685221033372	295.0	295.0
2.46	0.9713457588570119	295.0	295.0
2.4699999999999998	0.9713232409827541	295.0	295.0
2.48	0.97130096582255	295.0	295.0
2.49	0.9712789307474601	295.0	295.0
2.5	0.9712571331572916	295.0	295.0
2.51	0.9712355704802822	295.0	295.0
2.5199999999999996	0.9712142401727809	295.0	295.0
2.53	0.9711931397189348	295.0	295.0
2.54	0.9711722666303819	295.0	295.0
2.55	0.9711516184459438	295.0	295.0
2.56	0.9711311927313244	295.0	295.0
2.57	0.9711109870788108	295.0	295.0
2.58	0.9710909991069768	295.0	295.0
2.59	0.9710712264603947	295.0	295.0
2.5999999999999996	0.9710516668093412	295.0	295.0
2.61	0.9710323178495168	295.0	295.0
2.62	0.9710131773017618	295.0	295.0
2.63	0.9709942429117758	295.0	295.0
2.64	0.9709755124498466	295.0	295.0
2.65	0.9709569837105745	295.0	295.0
2.66	0.9709386545126033	295.0	295.0
2.67	0.970920522698355	295.0	295.0
2.6799999999999997	0.970902586133765	295.0	295.0
2.69	0.9708848427080234	295.0	295.0
2.6999999999999997	0.9708672903333185	295.0	295.0
2.71	0.9708499269445788	295.0	295.0
2.72	0.9708327504992256	295.0	295.0
2.73	0.9708157589769211	295.0	295.0
2.74	0.9707989503793257	295.0	295.0
2.75	0.9707823227298541	295.0	295.0
2.76	0.9707658740734332	295.0	295.0
2.77	0.9707496024762655	295.0	295.0
2.78	0.9707335060255973	295.0	295.0
2.79	0.9707175828294832	295.0	295.0
2.8	0.9707018310165564	295.0	295.0
2.81	0.9706862487358039	295.0	295.0
2.8200000000000003	0.9706708341563405	295.0	295.0
2.83	0.9706555854671863	295.0	295.0
2.84	0.9706405008770522	295.0	295.0
2.8499999999999996	0.9706255786141187	295.0	295.0
2.86	0.970610816925819	295.0	295.0
2.87	0.9705962140786351	295.0	295.0
2.88	0.9705817683578815	295.0	295.0
2.89	0.9705674780675	295.0	295.0
2.9	0.9705533415298562	295.0	295.0
2.9099999999999997	0.9705393570855338	295.0	295.0
2.92	0.970525523093138	295.0	295.0
2.9299999999999997	0.9705118379290948	295.0	295.0
2.94	0.9704982999874562	295.0	295.0
2.9499999999999997	0.9704849076797071	295.0	295.0
2.96	0.9704716594345725	295.0	295.0
2.97	0.9704585536978282	295.0	295.0
2.98	0.9704455889321177	295.0	295.0
2.9899999999999998	0.9704327636167609	295.0	295.0
2.9999999999999996	0.9704200762475748	295.0	295.0
3.01	0.9704075253366926	295.0	295.0
3.02	0.9703951094123823	295.0	295.0
3.03	0.9703828270188747	295.0	295.0
3.04	0.9703706767161826	295.0	295.0
3.0500000000000003	0.9703586570799315	295.0	295.0
3.06	0.9703467667011878	295.0	295.0
3.07	0.9703350041862893	295.0	295.0
3.0799999999999996	0.9703233681566783	295.0	295.0
3.09	0.9703118572487361	295.0	295.0
3.1	0.9703004701136186	295.0	295.0
3.11	0.9702892054170984	295.0	295.0
3.12	0.9702780618393998	295.0	295.0
3.13	0.9702670380750417	295.0	295.0
3.14	0.9702561328326862	295.0	295.0
3.15	0.970245344834978	295.0	295.0
3.1599999999999997	0.970234672818392	295.0	295.0
3.17	0.9702241155330872	295.0	295.0
3.1799999999999997	0.9702136717427533	295.0	295.0
3.19	0.9702033402244626	295.0	295.0
3.2	0.9701931197685244	295.0	295.0
3.21	0.970183009178342	295.0	295.0
3.22	0.9701730072702675	295.0	295.0
3.23	0.9701631128734617	295.0	295.0
3.2399999999999998	0.9701533248297539	295.0	295.0
3.25	0.9701436419935039	295.0	295.0
3.26	0.9701340632314658	295.0	295.0
3.27	0.9701245874226503	295.0	295.0
3.28	0.9701152134581945	295.0	295.0
3.29	0.9701059402412282	295.0	295.0
3.3000000000000003	0.9700967666867416	295.0	295.0
3.3099999999999996	0.9700876917214586	295.0	295.0
3.32	0.970078714283706	295.0	295.0
3.3299999999999996	0.9700698333232907	295.0	295.0
3.34	0.970061047801371	295.0	295.0
3.35	0.9700523566903358	295.0	295.0
3.36	0.9700437589736812	295.0	295.0
3.37	0.9700352536458883	295.0	295.0
3.38	0.9700268397123054	295.0	295.0
3.3899999999999997	0.9700185161890282	295.0	295.0
3.4	0.9700102821027846	295.0	295.0
3.4099999999999997	0.9700021364908165	295.0	295.0
3.42	0.9699940784007689	295.0	295.0
3.43	0.9699861068905745	295.0	295.0
3.44	0.9699782210283385	295.0	295.0
3.45	0.9699704198922369	295.0	295.0
3.46	0.9699627025703971	295.0	295.0
3.4699999999999998	0.9699550681607952	295.0	295.0
3.48	0.9699475157711483	295.0	295.0
3.4899999999999998	0.9699400445188086	295.0	295.0
3.5	0.9699326535306572	295.0	295.0
3.51	0.9699253419430037	295.0	295.0
3.52	0.9699181089014778	295.0	295.0
3.5300000000000002	0.9699109535609354	295.0	295.0
3.54	0.9699038750853527	295.0	295.0
3.55	0.969896872647732	295.0	295.0
3.5599999999999996	0.9698899454299954	295.0	295.0
3.57	0.9698830926229003	295.0	295.0
3.58	0.9698763134259316	295.0	295.0
3.59	0.9698696070472149	295.0	295.0
3.6	0.969862972703418	295.0	295.0
3.61	0.969856409619662	295.0	295.0
3.62	0.9698499170294259	295.0	295.0
3.63	0.9698434941744578	295.0	295.0
3.6399999999999997	0.969837140304685	295.0	295.0
3.65	0.9698308546781266	295.0	295.0
3.66	0.969824636560803	295.0	295.0
3.6700000000000004	0.9698184852266503	295.0	295.0
3.6799999999999997	0.9698123999574366	295.0	295.0
3.69	0.9698063800426734	295.0	295.0
3.7	0.9698004247795345	295.0	295.0
3.71	0.9697945334727716	295.0	295.0
3.72	0.9697887054346317	295.0	295.0
3.7299999999999995	0.9697829399847773	295.0	295.0
3.7399999999999998	0.9697772364502057	295.0	295.0
3.75	0.9697715941651682	295.0	295.0
3.7600000000000002	0.9697660124710937	295.0	295.0
3.7700000000000005	0.9697604907165095	295.0	295.0
3.78	0.969755028256964	295.0	295.0
3.7899999999999996	0.9697496244549516	295.0	295.0
3.8	0.969744278679837	295.0	295.0
3.81	0.9697389903077821	295.0	295.0
3.8200000000000003	0.9697337587216702	295.0	295.0
3.8299999999999996	0.9697285833110346	295.0	295.0
3.84	0.9697234634719861	295.0	295.0
3.85	0.969718398607143	295.0	295.0
3.8600000000000003	0.9697133881255583	295.0	295.0
3.87	0.9697084314426534	295.0	295.0
3.8799999999999994	0.969703527980146	295.0	295.0
3.8899999999999997	0.9696986771659829	295.0	295.0
3.9	0.9696938784342753	295.0	295.0
3.91	0.9696891312252269	295.0	295.0
3.9200000000000004	0.9696844349850716	295.0	295.0
3.9299999999999997	0.9696797891660095	295.0	295.0
3.94	0.9696751932261376	295.0	295.0
3.9499999999999997	0.9696706466293924	295.0	295.0
3.96	0.9696661488454791	295.0	295.0
3.97	0.969661699349817	295.0	295.0
3.9799999999999995	0.9696572976234717	295.0	295.0
3.9899999999999998	0.9696529431530978	295.0	295.0
4.0	0.9696486354308776	295.0	295.0
