# Delay [fs]	Temperature [K]
  -9.0000000e+03   2.9359312e+02
  -7.0000000e+03   2.9403481e+02
  -5.0000000e+03   2.9388758e+02
  -4.0000000e+03   2.9410842e+02
  -3.0000000e+03   2.9480776e+02
  -2.0000000e+03   2.9473415e+02
  -1.0000000e+03   2.9499180e+02
  -5.0000000e+02   2.9491818e+02
  -4.5000000e+02   2.9506541e+02
  -4.0000000e+02   2.9499180e+02
  -3.5000000e+02   2.9521264e+02
  -3.0000000e+02   2.9547029e+02
  -2.5000000e+02   2.9580156e+02
  -2.0000000e+02   2.9524945e+02
  -1.5000000e+02   2.9609602e+02
  -1.0000000e+02   2.9716343e+02
  -5.0000000e+01   2.9598560e+02
   0.0000000e+00   2.9642729e+02
   5.0000000e+01   2.9727385e+02
   1.0000000e+02   2.9694259e+02
   1.5000000e+02   2.9727385e+02
   2.0000000e+02   2.9793639e+02
   2.5000000e+02   2.9830446e+02
   3.0000000e+02   2.9830446e+02
   3.5000000e+02   2.9874615e+02
   4.0000000e+02   2.9896699e+02
   4.5000000e+02   2.9962953e+02
   5.0000000e+02   3.0069694e+02
   6.0000000e+02   3.0036567e+02
   7.0000000e+02   3.0032887e+02
   8.0000000e+02   3.0025525e+02
   9.0000000e+02   3.0054971e+02
   1.0000000e+03   2.9973995e+02
   1.1000000e+03   3.0010802e+02
   1.2000000e+03   3.0058652e+02
   1.3000000e+03   3.0080736e+02
   1.4000000e+03   3.0132266e+02
   1.5000000e+03   3.0051290e+02
   1.6000000e+03   3.0113863e+02
   1.7000000e+03   3.0043929e+02
   1.8000000e+03   3.0036567e+02
   1.9000000e+03   3.0069694e+02
   2.0000000e+03   3.0102821e+02
   2.2500000e+03   3.0014483e+02
   2.5000000e+03   3.0110182e+02
   2.7500000e+03   3.0054971e+02
   3.0000000e+03   2.9959272e+02
   3.5000000e+03   3.0095459e+02
   4.0000000e+03   3.0077055e+02
   4.5000000e+03   3.0018164e+02
   5.0000000e+03   2.9992398e+02
   5.5000000e+03   2.9933507e+02
   6.0000000e+03   3.0025525e+02
   6.5000000e+03   3.0113863e+02
   7.0000000e+03   3.0102821e+02
   7.5000000e+03   3.0183797e+02
   8.0000000e+03   2.9996079e+02
   8.5000000e+03   3.0077055e+02
   9.0000000e+03   3.0073375e+02
   9.5000000e+03   3.0132266e+02
   1.0000000e+04   3.0239008e+02
