# time of execution: 2022-08-01 15:10:12
### simulation parameters ###
# timestep dt=1e-16[s]
# initial temperature:290.0[K]
# initial magnetization [x,y,z]:['[0.0, 0.0, 0.9863]', '[0.0, 0.0, 1.0]']
### sample paramters ###
# Sample: ['Iron', 'Gadolinium']
# S=[2, 3.5]
# mu_at=[2.2, 7.5][mu_B]
# nz=60
# dx=[2.856e-10, 3.6e-10]	dy=[2.856e-10, 3.6e-10]	dz=[2.856e-10, 5.8e-10]	[m]
# atoms per unit cell:[2, 6]
# asf=[0.035, 0.12]
# Jint=[[0, -1.2425841000000002e-18], [-1.2425841000000002e-18, 0]][J]
# Hex=0[J]
# gep=[<scipy.interpolate.interpolate.interp1d object at 0x000002068951E720>, <scipy.interpolate.interpolate.interp1d object at 0x0000020689507810>][W/m^3/K]
# factor cv_el=[<scipy.interpolate.interpolate.interp1d object at 0x000002068951B8B0>, <scipy.interpolate.interpolate.interp1d object at 0x0000020689507900>][J/m^3/K^2]
# cv_ph=[<scipy.interpolate.interpolate.interp1d object at 0x000002068951CA90>, <scipy.interpolate.interpolate.interp1d object at 0x0000020689507C20>][J/m^3/K]
# Tc=[1041, 293][K]
# T_Deb=[396, 160][K]
### pulse paramters ###
# peak power:3e+21[W/m^3]
# sigma=3.4e-14[s]
# delay=1e-11[s]
#############################
# time [ps]	magnetization	T_e [K]	T_p [K]
0.0	[[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], [-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]]	[[290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0], [290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0]]	[[290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0], [290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0]]
0.01	[[0.99974698102193, 0.9998683289971058, 0.9998683343634257, 0.999868334363583, 0.999868334363583, 0.999868334363583, 0.999868334363583, 0.999868334363583, 0.999868334363583, 0.999868334363583, 0.999868334363583, 0.999868334363583, 0.999868334363583, 0.999868334363583, 0.999868334363583, 0.999868334363583, 0.999868334363583, 0.999868334363583, 0.999868334363583, 0.999868334363583, 0.999868334363583, 0.999868334363583, 0.999868334363583, 0.999868334363583, 0.999868334363583, 0.999868334363583, 0.999868334363583, 0.9998683343637531, 0.9998683401912503, 1.0], [-1.016127267032646, -1.0162641086087683, -1.0162640841537405, -1.0162640841616224, -1.0162640841616213, -1.0162640841616213, -1.0162640841616213, -1.0162640841616213, -1.0162640841616213, -1.0162640841616213, -1.0162640841616213, -1.0162640841616213, -1.0162640841616213, -1.0162640841616213, -1.0162640841616213, -1.0162640841616213, -1.0162640841616213, -1.0162640841616213, -1.0162640841616213, -1.0162640841616213, -1.0162640841616213, -1.0162640841616213, -1.0162640841616213, -1.0162640841616213, -1.0162640841616213, -1.0162640841616213, -1.0162640841616202, -1.016264084164721, -1.01626407605464, -1.0162928851443707]]	[[290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0], [290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0]]	[[290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0], [290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0]]
0.02	[[0.9994962045501433, 0.9997381649209746, 0.9997381864016871, 0.9997381864029575, 0.9997381864029576, 0.9997381864029576, 0.9997381864029576, 0.9997381864029576, 0.9997381864029576, 0.9997381864029576, 0.9997381864029576, 0.9997381864029576, 0.9997381864029576, 0.9997381864029576, 0.9997381864029576, 0.9997381864029576, 0.9997381864029576, 0.9997381864029576, 0.9997381864029576, 0.9997381864029576, 0.9997381864029576, 0.9997381864029576, 0.9997381864029576, 0.9997381864029576, 0.9997381864029576, 0.9997381864029576, 0.9997381864029578, 0.9997381864043334, 0.9997382096863473, 1.0], [-1.018878311369448, -1.0190286096747234, -1.0190285846557772, -1.0190285846637461, -1.019028584663745, -1.019028584663745, -1.019028584663745, -1.019028584663745, -1.019028584663745, -1.019028584663745, -1.019028584663745, -1.019028584663745, -1.019028584663745, -1.019028584663745, -1.019028584663745, -1.019028584663745, -1.019028584663745, -1.019028584663745, -1.019028584663745, -1.019028584663745, -1.019028584663745, -1.019028584663745, -1.019028584663745, -1.019028584663745, -1.019028584663745, -1.019028584663745, -1.019028584663744, -1.019028584666873, -1.019028576430669, -1.0190601693398462]]	[[290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0], [290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0]]	[[290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0], [290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0]]
0.03	[[0.9992476477706924, 0.9996094892331571, 0.999609537476929, 0.9996095374812216, 0.9996095374812223, 0.9996095374812223, 0.9996095374812223, 0.9996095374812223, 0.9996095374812223, 0.9996095374812223, 0.9996095374812223, 0.9996095374812223, 0.9996095374812223, 0.9996095374812223, 0.9996095374812223, 0.9996095374812223, 0.9996095374812223, 0.9996095374812223, 0.9996095374812223, 0.9996095374812223, 0.9996095374812223, 0.9996095374812223, 0.9996095374812223, 0.9996095374812223, 0.9996095374812223, 0.9996095374812223, 0.9996095374812228, 0.9996095374858689, 0.9996095896750566, 1.0], [-1.0216366080323942, -1.0218005561469274, -1.0218005305236035, -1.021800530531662, -1.0218005305316609, -1.0218005305316609, -1.0218005305316609, -1.0218005305316609, -1.0218005305316609, -1.0218005305316609, -1.0218005305316609, -1.0218005305316609, -1.0218005305316609, -1.0218005305316609, -1.0218005305316609, -1.0218005305316609, -1.0218005305316609, -1.0218005305316609, -1.0218005305316609, -1.0218005305316609, -1.0218005305316609, -1.0218005305316609, -1.0218005305316609, -1.0218005305316609, -1.0218005305316609, -1.0218005305316609, -1.0218005305316598, -1.021800530534817, -1.0218005221641435, -1.0218349345356408]]	[[290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0], [290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0]]	[[290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0], [290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0]]
0.04	[[0.9990012881486413, 0.999482283648428, 0.9994823692038496, 0.999482369214021, 0.9994823692140222, 0.9994823692140222, 0.9994823692140222, 0.9994823692140222, 0.9994823692140222, 0.9994823692140222, 0.9994823692140222, 0.9994823692140222, 0.9994823692140222, 0.9994823692140222, 0.9994823692140222, 0.9994823692140222, 0.9994823692140222, 0.9994823692140222, 0.9994823692140222, 0.9994823692140222, 0.9994823692140222, 0.9994823692140222, 0.9994823692140222, 0.9994823692140222, 0.9994823692140222, 0.9994823692140222, 0.9994823692140233, 0.9994823692250211, 0.9994824616002093, 1.0], [-1.0244021711890896, -1.0245799665919288, -1.0245799403224705, -1.0245799403306208, -1.0245799403306197, -1.0245799403306197, -1.0245799403306197, -1.0245799403306197, -1.0245799403306197, -1.0245799403306197, -1.0245799403306197, -1.0245799403306197, -1.0245799403306197, -1.0245799403306197, -1.0245799403306197, -1.0245799403306197, -1.0245799403306197, -1.0245799403306197, -1.0245799403306197, -1.0245799403306197, -1.0245799403306197, -1.0245799403306197, -1.0245799403306197, -1.0245799403306197, -1.0245799403306197, -1.0245799403306197, -1.0245799403306186, -1.0245799403338078, -1.0245799318200601, -1.0246171999506744]]	[[290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0], [290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0]]	[[290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0], [290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0]]
0.05	[[0.9987571034238856, 0.9993565301308119, 0.9993566634457803, 0.9993566634656241, 0.9993566634656261, 0.9993566634656261, 0.9993566634656261, 0.9993566634656261, 0.9993566634656261, 0.9993566634656261, 0.9993566634656261, 0.9993566634656261, 0.9993566634656261, 0.9993566634656261, 0.9993566634656261, 0.9993566634656261, 0.9993566634656261, 0.9993566634656261, 0.9993566634656261, 0.9993566634656261, 0.9993566634656261, 0.9993566634656261, 0.9993566634656261, 0.9993566634656261, 0.9993566634656261, 0.9993566634656261, 0.9993566634656293, 0.9993566634870591, 0.9993568071538381, 1.0], [-1.0271750148484091, -1.0273668595836765, -1.0273668326249776, -1.027366832633224, -1.0273668326332228, -1.0273668326332226, -1.0273668326332226, -1.0273668326332226, -1.0273668326332226, -1.0273668326332226, -1.0273668326332226, -1.0273668326332226, -1.0273668326332226, -1.0273668326332226, -1.0273668326332226, -1.0273668326332226, -1.0273668326332226, -1.0273668326332226, -1.0273668326332226, -1.0273668326332226, -1.0273668326332226, -1.0273668326332226, -1.0273668326332226, -1.0273668326332226, -1.0273668326332226, -1.0273668326332226, -1.0273668326332215, -1.0273668326364416, -1.0273668239707539, -1.027406984829086]]	[[290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0], [290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0]]	[[290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0], [290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0]]
0.06	[[0.9985150716070391, 0.9992322108896868, 0.9992324023108394, 0.9992324023450782, 0.9992324023450827, 0.9992324023450827, 0.9992324023450827, 0.9992324023450827, 0.9992324023450827, 0.9992324023450827, 0.9992324023450827, 0.9992324023450827, 0.9992324023450827, 0.9992324023450827, 0.9992324023450827, 0.9992324023450827, 0.9992324023450827, 0.9992324023450827, 0.9992324023450827, 0.9992324023450827, 0.9992324023450827, 0.9992324023450827, 0.9992324023450827, 0.9992324023450827, 0.9992324023450827, 0.9992324023450827, 0.9992324023450889, 0.9992324023820154, 0.9992326082733824, 1.0], [-1.0299551528657827, -1.0301612537021392, -1.0301612260096928, -1.0301612260180404, -1.030161226018039, -1.030161226018039, -1.030161226018039, -1.030161226018039, -1.030161226018039, -1.030161226018039, -1.030161226018039, -1.030161226018039, -1.030161226018039, -1.030161226018039, -1.030161226018039, -1.030161226018039, -1.030161226018039, -1.030161226018039, -1.030161226018039, -1.030161226018039, -1.030161226018039, -1.030161226018039, -1.030161226018039, -1.030161226018039, -1.030161226018039, -1.030161226018039, -1.0301612260180377, -1.0301612260212876, -1.0301612171945205, -1.0302043084395007]]	[[290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0], [290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0]]	[[290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0], [290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0]]
0.07	[[0.9982751709754019, 0.9991093083759535, 0.9991095681481461, 0.9991095682024238, 0.9991095682024328, 0.9991095682024328, 0.9991095682024328, 0.9991095682024328, 0.9991095682024328, 0.9991095682024328, 0.9991095682024328, 0.9991095682024328, 0.9991095682024328, 0.9991095682024328, 0.9991095682024328, 0.9991095682024328, 0.9991095682024328, 0.9991095682024328, 0.9991095682024328, 0.9991095682024328, 0.9991095682024328, 0.9991095682024328, 0.9991095682024328, 0.9991095682024328, 0.9991095682024328, 0.9991095682024328, 0.9991095682024425, 0.9991095682608991, 0.9991098471379638, 1.0], [-1.0327425989343995, -1.032963167531869, -1.0329631390597114, -1.0329631390681573, -1.032963139068156, -1.032963139068156, -1.032963139068156, -1.032963139068156, -1.032963139068156, -1.032963139068156, -1.032963139068156, -1.032963139068156, -1.032963139068156, -1.032963139068156, -1.032963139068156, -1.032963139068156, -1.032963139068156, -1.032963139068156, -1.032963139068156, -1.032963139068156, -1.032963139068156, -1.032963139068156, -1.032963139068156, -1.032963139068156, -1.032963139068156, -1.032963139068156, -1.0329631390681546, -1.0329631390714402, -1.0329631300741702, -1.0330091900742573]]	[[290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0], [290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0]]	[[290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0], [290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0]]
0.08	[[0.9980373800689988, 0.9989878052782791, 0.9989881435441174, 0.9989881436249854, 0.9989881436250017, 0.9989881436250017, 0.9989881436250017, 0.9989881436250017, 0.9989881436250017, 0.9989881436250017, 0.9989881436250017, 0.9989881436250017, 0.9989881436250017, 0.9989881436250017, 0.9989881436250017, 0.9989881436250017, 0.9989881436250017, 0.9989881436250017, 0.9989881436250017, 0.9989881436250017, 0.9989881436250017, 0.9989881436250017, 0.9989881436250017, 0.9989881436250017, 0.9989881436250017, 0.9989881436250017, 0.9989881436250185, 0.99898814371199, 0.9989885061647212, 1.0], [-1.0355373665759149, -1.035772619660495, -1.035772590361147, -1.0357725903696946, -1.0357725903696933, -1.0357725903696933, -1.0357725903696933, -1.0357725903696933, -1.0357725903696933, -1.0357725903696933, -1.0357725903696933, -1.0357725903696933, -1.0357725903696933, -1.0357725903696933, -1.0357725903696933, -1.0357725903696933, -1.0357725903696933, -1.0357725903696933, -1.0357725903696933, -1.0357725903696933, -1.0357725903696933, -1.0357725903696933, -1.0357725903696933, -1.0357725903696933, -1.0357725903696933, -1.0357725903696933, -1.035772590369692, -1.0357725903730135, -1.0357725811955274, -1.0358216490486227]]	[[290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0], [290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0]]	[[290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0], [290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0]]
0.09	[[0.9978016776866898, 0.9988676845194087, 0.9988681113188174, 0.9988681114337302, 0.9988681114337542, 0.9988681114337542, 0.9988681114337542, 0.9988681114337542, 0.9988681114337542, 0.9988681114337542, 0.9988681114337542, 0.9988681114337542, 0.9988681114337542, 0.9988681114337542, 0.9988681114337542, 0.9988681114337542, 0.9988681114337542, 0.9988681114337542, 0.9988681114337542, 0.9988681114337542, 0.9988681114337542, 0.9988681114337542, 0.9988681114337542, 0.9988681114337542, 0.9988681114337542, 0.9988681114337542, 0.9988681114337815, 0.9988681115571905, 0.9988685680052191, 1.0], [-1.0383394691306496, -1.038589628677164, -1.0385895985015678, -1.038589598510223, -1.0385895985102216, -1.0385895985102216, -1.0385895985102216, -1.0385895985102216, -1.0385895985102216, -1.0385895985102216, -1.0385895985102216, -1.0385895985102216, -1.0385895985102216, -1.0385895985102216, -1.0385895985102216, -1.0385895985102216, -1.0385895985102216, -1.0385895985102216, -1.0385895985102216, -1.0385895985102216, -1.0385895985102216, -1.0385895985102216, -1.0385895985102216, -1.0385895985102216, -1.0385895985102216, -1.0385895985102216, -1.0385895985102203, -1.0385895985135771, -1.0385895891458545, -1.0386417046999532]]	[[290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0], [290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0]]	[[290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0], [290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0]]
